num_iter,max_error,l2_energy,rmse,rrmse,rmsre,step_size,time,solve_time,constraint_time,direction_time,line_search_time,direction_norm,direction_residual,
0,2.45747871885266989,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,1.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,
1,2.43144019050541971,985.01295960550703512,0.00130785548834067,0.00018632868014233,0.06424189017631246,0.50000000000000000,0.88400000000000001,0.24335499999999999,0.19498499999999996,0.29427199999999998,0.30836500000000000,88.76994805024983748,0.00000000057520102,
2,2.65081238381979389,2044.07158401050446628,0.00191413187713411,0.00027270418594738,0.09405755709149510,0.50000000000000000,1.69469099999999995,0.23630200000000001,0.20706500000000005,0.28501400000000010,0.31332899999999997,47.38878931665285421,0.00000000013158535,
3,1.67786743430992047,2803.66830300546962462,0.00228674853932833,0.00032579045693423,0.11241213575362521,0.50000000000000000,2.52417299999999978,0.22774700000000000,0.21332499999999999,0.27453499999999997,0.33513999999999999,29.24076674163499590,0.00000000003918080,
4,2.88731565335436002,3343.48145976415980840,0.00256373182804187,0.00036525195024719,0.12599791912569172,0.50000000000000000,3.43296999999999963,0.22834599999999999,0.28855299999999984,0.28206700000000007,0.33250100000000016,21.27500735530366427,0.00000000003279177,
5,0.95673852781019786,3735.40769384752911719,0.00277300112322128,0.00039506630811219,0.13634059890500702,0.50000000000000000,4.70702700000000007,0.33831000000000000,0.38593199999999994,0.42363400000000029,0.45909099999999992,15.71703302652458234,0.00000000002526157,
6,0.64660914325401642,4029.29389096299246376,0.00294669455080049,0.00041981221268556,0.14489998311884686,0.50000000000000000,5.69924699999999973,0.24626999999999999,0.29155100000000012,0.32153499999999990,0.37389600000000023,11.70248861985478150,0.00000000001630718,
7,0.35220002965764152,4244.16366288937024365,0.00307282568383269,0.00043778197138770,0.15109831311891841,0.50000000000000000,6.65163999999999955,0.24209000000000000,0.27376799999999957,0.29492000000000029,0.37826599999999999,8.40709836770230545,0.00000000001238556,
8,0.15939156858884829,4377.23288818782930321,0.00314760414902380,0.00044843557405737,0.15474067158720586,0.50000000000000000,7.61316199999999998,0.24095500000000000,0.28202600000000011,0.28634599999999999,0.38696700000000028,5.08203477716941077,0.00000000000743024,
9,0.01545239946793053,4523.27728604136063950,0.00322721770334948,0.00045977802636283,0.15860587938460508,1.00000000000000000,8.38945799999999942,0.24301600000000001,0.27720199999999995,0.29714300000000016,0.19666899999999998,2.70766303146135900,0.00000000000441450,
10,0.00004426989267436,4523.14485645190416108,0.00322720746751149,0.00045977656807466,0.15860556687439806,1.00000000000000000,9.16741599999999934,0.25465900000000002,0.27039199999999930,0.30481900000000017,0.19793899999999987,0.04437872297349774,0.00000000000001330,
11,0.00000000058432370,4523.14305953306939045,0.00322720613143646,0.00045977637772558,0.15860550245795799,1.00000000000000000,9.88434599999999897,0.21063399999999999,0.26785100000000028,0.25401100000000021,0.19004400000000032,0.00009750526101763,0.00000000000000003,
12,0.00000000000001044,4523.14305952933318622,0.00322720613143363,0.00045977637772518,0.15860550245782185,1.00000000000000000,10.63226099999999974,0.23622199999999999,0.26377899999999954,0.28319700000000125,0.19569499999999884,0.00000000055891837,0.00000000000000000,
