num_iter,max_error,l2_energy,rmse,rrmse,rmsre,step_size,time,solve_time,constraint_time,direction_time,line_search_time,direction_norm,direction_residual,
0,4.54884959388435917,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,1.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,
1,2.75890668608982104,498.94323248348280231,0.14132867280628456,0.00015005569288477,0.04582110116162461,0.50000000000000000,0.90324099999999996,0.15614900000000001,0.20605199999999996,0.20284200000000002,0.41110100000000005,63.17868200483342633,0.00000000002953701,
2,1.37433404524636416,2355.67537646867958756,0.31460840912495813,0.00033403542169626,0.10077298269242020,1.00000000000000000,1.60433999999999988,0.15197400000000000,0.25511699999999993,0.19201800000000002,0.24905699999999986,38.87818505127249580,0.00000000002821962,
3,0.34731854421211494,2499.42010476884206582,0.32547650875405776,0.00034557462451904,0.10375325338670710,1.00000000000000000,2.43616199999999994,0.16880600000000001,0.33675899999999981,0.21509200000000028,0.27472599999999980,6.45880928001445742,0.00000000000317309,
4,0.01025171687481752,2506.77430192269684994,0.32600062661356988,0.00034613110656193,0.10392103268044735,1.00000000000000000,3.27392899999999987,0.16430800000000001,0.35963199999999995,0.20979000000000037,0.26307400000000003,0.59467970500498601,0.00000000000029747,
5,0.00001968298349730,2506.80984449129618952,0.32600273883404346,0.00034613334921164,0.10392170371911866,1.00000000000000000,4.22592599999999941,0.18726000000000001,0.35069999999999979,0.23056900000000002,0.36181500000000000,0.01532602736598346,0.00000000000000313,
6,0.00000000014893065,2506.80986875392318325,0.32600274006125429,0.00034613335051463,0.10392170398492079,1.00000000000000000,5.30797099999999933,0.23161499999999999,0.45253399999999999,0.29793599999999998,0.32611600000000074,0.00002121597479873,0.00000000000000000,
7,0.00000000007446488,2506.80986875396320102,0.32600274006125662,0.00034613335051463,0.10392170398492098,0.50000000000000000,6.67481399999999958,0.21893399999999999,0.43380300000000016,0.28395499999999974,0.64306300000000061,0.00000000006483378,0.00000000000000000,
8,0.00000000003723155,2506.80986875397229596,0.32600274006125696,0.00034613335051463,0.10392170398492087,0.50000000000000000,7.79499399999999998,0.18952700000000000,0.36294000000000004,0.24023299999999992,0.51160199999999989,0.00000000003258820,0.00000000000000000,
9,0.00000000000001310,2506.80986875397320546,0.32600274006125557,0.00034613335051463,0.10392170398492047,1.00000000000000000,8.63209299999999935,0.16236999999999999,0.35740299999999969,0.20981400000000150,0.26204599999999978,0.00000000001665384,0.00000000000000000,
