num_iter,max_error,l2_energy,rmse,rrmse,rmsre,step_size,time,solve_time,constraint_time,direction_time,line_search_time,direction_norm,direction_residual,
0,15.60334937721580673,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,1.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,
1,10.68927476178693325,76.91165316492852355,0.06644598265773526,0.00055043897222110,0.05965239240341683,0.25000000000000000,0.09481800000000000,0.01060800000000000,0.01340700000000000,0.01362400000000000,0.06147499999999999,49.61020964758879614,0.00000000002035564,
2,4.66352062670573098,320.88415192080424276,0.15028587683570080,0.00124496922576792,0.13415397363581202,0.50000000000000000,0.15356100000000000,0.01122400000000000,0.01557400000000000,0.01433100000000000,0.02815300000000000,31.09065492920815998,0.00000000002404459,
3,3.12524802558862191,675.11230579638822746,0.24544804408078183,0.00203329326640300,0.20139558238929703,1.00000000000000000,0.20736299999999999,0.01156000000000000,0.02127599999999999,0.01499300000000001,0.01681199999999999,17.12258744480164552,0.00000000001071531,
4,1.74126160664303686,726.18659528674618286,0.26814877094505468,0.00222134624212926,0.21647004430114558,1.00000000000000000,0.26741100000000001,0.01192100000000000,0.02643799999999999,0.01613399999999998,0.01676200000000000,6.78297137655069005,0.00000000000164529,
5,0.53896034560525408,752.97906470927159717,0.27521160664282596,0.00227985482108238,0.22349972993096140,1.00000000000000000,0.32968199999999998,0.01250000000000000,0.02693099999999998,0.01709300000000002,0.01753899999999997,2.97691634136675054,0.00000000000056921,
6,0.05114796262084553,757.32568406080565637,0.27602551344750115,0.00228659723058751,0.22425623983318438,1.00000000000000000,0.39195199999999997,0.01231800000000000,0.02696300000000001,0.01660299999999998,0.01798300000000003,0.66367739805288117,0.00000000000007865,
7,0.00022491386270840,757.24472337695431179,0.27600588607984677,0.00228643463734038,0.22419512941906694,1.00000000000000000,0.45471200000000001,0.01236800000000000,0.02816600000000002,0.01647399999999999,0.01737100000000003,0.04224977258758971,0.00000000000000683,
8,0.00000002578617231,757.24254505936630721,0.27600560136134950,0.00228643227873041,0.22419454918180018,1.00000000000000000,0.51674900000000001,0.01251600000000000,0.02706200000000003,0.01657699999999995,0.01767699999999994,0.00034019924692017,0.00000000000000009,
9,0.00000000000002398,757.24254490330486078,0.27600560134250224,0.00228643227857428,0.22419454914970527,1.00000000000000000,0.57768599999999992,0.01254600000000000,0.02631000000000006,0.01659400000000000,0.01735799999999998,0.00000002713855847,0.00000000000000000,
