num_iter,max_error,l2_energy,rmse,rrmse,rmsre,step_size,time,solve_time,constraint_time,direction_time,line_search_time,direction_norm,direction_residual,
0,1.62037920137577096,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,1.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,
1,0.78052561580316748,236.53911417475586632,0.05625665954863902,0.00072926051792565,0.08412533895681497,1.00000000000000000,0.07608899999999999,0.01879000000000000,0.02413500000000000,0.02332900000000000,0.01844400000000000,21.75036156824782196,0.00000000000570478,
2,0.38993895651338217,337.32377599261178602,0.06957881286747593,0.00090195687969203,0.10236991981339814,1.00000000000000000,0.15474099999999999,0.02000000000000000,0.03227700000000000,0.02574000000000000,0.01970900000000000,9.61575492769194362,0.00000000000679802,
3,0.19539901466381249,350.00422803246385683,0.07125219128363383,0.00092364904592166,0.10464227587116910,0.50000000000000000,0.25109599999999999,0.02121700000000000,0.03063999999999997,0.02721200000000001,0.03752800000000001,2.27508484508699249,0.00000000000162351,
4,0.09734920277772563,357.16345561149455534,0.07218349905546020,0.00093572167862825,0.10591885643610227,0.50000000000000000,0.34242200000000000,0.01946900000000000,0.03124600000000000,0.02486400000000000,0.03430899999999998,1.18685526556535015,0.00000000000085076,
5,0.04845983804699028,360.89403702703873478,0.07266538041237587,0.00094196835325740,0.10658177901726337,0.50000000000000000,0.43832399999999999,0.02351100000000000,0.03000900000000001,0.02902600000000000,0.03598399999999996,0.59753126344981267,0.00000000000043267,
6,0.02415489699701201,362.78774757414896612,0.07290915177700356,0.00094512838503053,0.10691765813225823,0.50000000000000000,0.53167699999999996,0.01982200000000000,0.03149000000000002,0.02525300000000003,0.03567899999999996,0.29851790975581466,0.00000000000020962,
7,0.01205570521106836,363.74046528896798236,0.07303158477468434,0.00094671549581912,0.10708647287571899,0.50000000000000000,0.62963400000000003,0.02177100000000000,0.03365899999999999,0.02763300000000002,0.03571899999999995,0.14903423952879699,0.00000000000010485,
8,0.00602202373427119,364.21813253316850023,0.07309291796457594,0.00094751056389080,0.10717107014812842,0.50000000000000000,0.72278999999999993,0.02068800000000000,0.03059600000000007,0.02614899999999998,0.03548000000000007,0.07444086823970401,0.00000000000005137,
9,0.00300950431978109,364.45727355705594164,0.07312361122340279,0.00094790844357311,0.10721341264736692,0.50000000000000000,0.81879599999999997,0.02103100000000000,0.03173199999999998,0.02690999999999999,0.03639000000000003,0.03719888722981052,0.00000000000002624,
10,0.00150436890798389,364.57691844362301481,0.07313896420414599,0.00094810746574716,0.10723459440967124,0.50000000000000000,0.91469699999999998,0.02117400000000000,0.03251300000000001,0.02711500000000000,0.03532800000000003,0.01859374788918968,0.00000000000001339,
11,0.00075208784079361,364.63675917083503464,0.07314664224303639,0.00094820699690779,0.10724518786236588,0.50000000000000000,1.01211899999999999,0.02081700000000000,0.03169499999999992,0.02682400000000007,0.03798800000000002,0.00929541152034900,0.00000000000000658,
12,0.00000017834820554,364.69661512258642233,0.07315432171798791,0.00094830654668421,0.10725578357412234,1.00000000000000000,1.10212099999999991,0.02179100000000000,0.03696100000000002,0.02852699999999997,0.02354500000000015,0.00464737007929424,0.00000000000000329,
13,0.00000000000000444,364.69661424431791374,0.07315432164398604,0.00094830654572492,0.10725578341198884,1.00000000000000000,1.19016400000000000,0.02138300000000000,0.03776999999999986,0.02804600000000002,0.02123299999999984,0.00000027119039515,0.00000000000000000,
