num_iter,max_error,l2_energy,rmse,rrmse,rmsre,step_size,time,solve_time,constraint_time,direction_time,line_search_time,direction_norm,direction_residual,
0,3.06155067165795636,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,1.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,
1,1.66325884980085714,1815.31063625757906266,0.00039074810438313,0.00022300218603371,0.07976759627655035,0.50000000000000000,1.76591199999999993,0.33693899999999999,0.47226199999999996,0.42618100000000003,0.71986200000000000,120.50927387575048044,0.00000000055730036,
2,0.78797170770451785,3393.64727362066469141,0.00054722394344973,0.00031230384554757,0.11077342939056310,0.50000000000000000,3.16564699999999988,0.26155800000000001,0.47605200000000014,0.34928899999999974,0.56825700000000001,56.32543881921498752,0.00000000018530651,
3,1.19110696525073667,4538.38282392936616816,0.00064500043036181,0.00036810544785736,0.12991321017008470,0.50000000000000000,4.63545599999999958,0.27660099999999999,0.52415900000000004,0.37546500000000016,0.56379099999999926,33.78385977658631134,0.00000000012688780,
4,0.68709652720822945,6137.59444720999817946,0.00077249688091799,0.00044086840400900,0.15469487926501213,1.00000000000000000,5.81871500000000008,0.27521699999999999,0.50961400000000001,0.37134800000000023,0.29600099999999951,20.60828409048994558,0.00000000009146181,
5,0.15990414620009474,6254.19151859141675232,0.00078273785726261,0.00044671298799125,0.15645693397474203,1.00000000000000000,7.05962800000000001,0.26339699999999999,0.55225800000000014,0.36534800000000001,0.31742999999999988,3.50801057382192383,0.00000000001453302,
6,0.00430809616612038,6279.18899596663777629,0.00078536980831057,0.00044821505756150,0.15691833482282286,1.00000000000000000,8.22621700000000011,0.26406499999999999,0.50311299999999992,0.34947000000000017,0.30783600000000000,0.64144018063193176,0.00000000000299649,
7,0.00000401931823912,6279.50629243989897077,0.00078540964349257,0.00044823779172852,0.15692502140248299,1.00000000000000000,9.46009600000000006,0.27245500000000000,0.53572099999999878,0.38543199999999977,0.30664400000000036,0.01262993148607408,0.00000000000004499,
8,0.00000000000318501,6279.50639182406939653,0.00078540966390750,0.00044823780337944,0.15692502428602989,1.00000000000000000,11.05565299999999951,0.45019999999999999,0.60748500000000050,0.62381399999999942,0.35779499999999942,0.00000716185940226,0.00000000000000002,
9,0.00000000000158806,6279.50639182420673023,0.00078540966390752,0.00044823780337945,0.15692502428603253,0.50000000000000000,13.11675099999999894,0.35917199999999999,0.72811699999999924,0.53164300000000075,0.79491999999999940,0.00000000000851180,0.00000000000000000,
10,0.00000000000079314,6279.50639182422582962,0.00078540966390752,0.00044823780337945,0.15692502428603300,0.50000000000000000,14.60807400000000023,0.27363700000000002,0.50722399999999901,0.37012999999999963,0.60756000000000121,0.00000000000344419,0.00000000000000000,
